e549766e-b8b1-48a2-bd72-8cc04e9e4e9d |  |  | theme=light | ind=saas | mw=1200px secGap=100px cardPad=24px base= dens= | fonts= | NS=Editorial paper cutouts on white
47cb86b6-cb2d-41c8-94ba-8607cd7c41cd |  |  | theme=light | ind=ai | mw=1200px secGap=64-80px cardPad=32px base= dens= | fonts= | NS=Warm parchment printed artifact — ink on bone paper, clay as the only chromatic breath.
97bbc1bd-873f-4048-b4cc-b20ea2e70097 |  |  | theme=light | ind=design | mw=1200px secGap=60px cardPad=20px base= dens= | fonts= | NS=warm editorial magazine on cream paper
95b472c5-fc07-46a8-a11f-c5432e290fcd |  |  | theme=light | ind=saas | mw=1200px secGap=100px cardPad=16-24px base= dens= | fonts= | NS=Green playground with thick marker outlines
329075e8-97ed-4722-8952-d9bf001de233 |  |  | theme=light | ind=agency | mw=1200px secGap=56-64px cardPad=16-24px base= dens= | fonts= | NS=botanical conservatory on warm parchment — cream pages holding vivid green specimens and one quiet forest room.
75eb47d6-2526-4936-b15a-7474cf4cdc69 |  |  | theme=mixed | ind=fintech | mw=1200px secGap=80px cardPad=24px base= dens= | fonts= | NS=electric violet on white marble
3b46c64e-b733-4d70-8cd0-531ca1f92937 |  |  | theme=light | ind=media | mw=640px secGap= cardPad=16px base= dens= | fonts= | NS=newspaper column on frosted glass
efd8dda0-b7dc-4b0b-b65f-348849d2cd65 |  |  | theme=light | ind=ecommerce | mw=1440px secGap=64px cardPad=24px base= dens= | fonts= | NS=Sunlit beauty editorial — paper white, ink black, one flash of yellow
11cfc460-807b-42c5-b10a-7b042c60f3e8 |  |  | theme=light | ind=agency | mw=1200px secGap=96-112px cardPad=32px base= dens= | fonts= | NS=morning light on cream paper
f2a84e0f-cf77-41fa-ade0-b062a3a42495 |  |  | theme=light | ind=ecommerce | mw= secGap=64px cardPad=30px base= dens= | fonts= | NS=Mediterranean deli counter, sunlit and hand-set
26dac924-d1c8-4097-af0f-0417ccb12128 |  |  | theme=light | ind=saas | mw=1200px secGap=80px cardPad=24px base= dens= | fonts= | NS=sunlit creative studio on warm cream — a bright yellow marquee opening onto white workspace panels and dark pill stamps.
707a1648-eaef-4629-9c5a-b835cedde250 |  |  | theme=light | ind=devtools | mw=1200px secGap=96px cardPad=32px base= dens= | fonts= | NS=Bauhaus poster pinned to a cloud architect's corkboard — cream paper, primary-color shapes, oversized geometric type.
2b41e7c4-1e8c-4ea2-a87f-51e24c57886e |  |  | theme=light | ind=saas | mw=1200px secGap=72px cardPad=24px base= dens= | fonts= | NS=warm cream workspace — editorial confidence on paper
c03d3f6f-91f9-4571-9840-7fd4da539322 |  |  | theme=dark | ind=fintech | mw=1200px secGap=40px cardPad=24px base= dens= | fonts= | NS=Midnight canvas with playful streamers — a deep navy void where hand-drawn ribbons and geometric type dance above warm cream paper surfaces.
f8c92b6b-a3a7-4141-ae61-3d865a106761 |  |  | theme=light | ind=design | mw= secGap=80px cardPad=14px base= dens= | fonts= | NS=Oversized masthead on white paper — a 295px geometric letterform pressed against a vast white wall, with tiny serif footnotes and pill-shaped navigation floating below.
d7a73e16-4b3e-4b9d-aef2-2c31a9db7457 |  |  | theme=mixed | ind=ecommerce | mw=1200px secGap=120px cardPad=32px base= dens= | fonts= | NS=Clinical dossier behind pixelated LCD readouts
6ec18fa7-41ff-41e0-8824-94f6fa104a75 |  |  | theme=light | ind=design | mw= secGap=32px cardPad=27px base= dens= | fonts= | NS=buttercream specimen sheet beneath sunset bands. A warm cream page sliced by yellow-to-plum horizontal stripes, anchored by an oversized neo-grotesque wordmark and tiny pixel Japanese eyebrows.
6da76890-6e04-452a-834d-ff019e232c2b |  |  | theme=mixed | ind=ecommerce | mw= secGap=80px cardPad=20px base= dens= | fonts= | NS=Hand-painted coffee zine — earthy paint bands, typewriter labels, and extreme pill buttons on warm matte surfaces.
40030487-56e3-447d-904f-b955ebadd0b5 |  |  | theme=light | ind=media | mw=1200px secGap=40px cardPad=16px base= dens= | fonts= | NS=Stadium scoreboard on parchment
8b4a1a95-9dbf-4565-ace7-c4cf48eb028a |  |  | theme=light | ind=ecommerce | mw=1280px secGap=64px cardPad=20px base= dens= | fonts= | NS=Clinical apothecary under teal light — a measured, prescriptive wellness brand that treats the product shot like a specimen slide.
ad98aac8-347c-47da-91c5-9c020febeb92 |  |  | theme=dark | ind=ai | mw=1280px secGap=80px cardPad=30px base= dens= | fonts= | NS=Particle-field observatory at midnight
fdcd4cbb-4db6-4138-9cfd-964795f1e1d6 |  |  | theme=light | ind=ecommerce | mw=1440px secGap=100px cardPad=24px base= dens= | fonts= | NS=Cinematic open-road diorama. Warm cream gallery walls with oversized landscape photographs pinned at gentle radii, thin black type whispering across the frames, one ember-orange accent breaking the monochrome like a campfire in a meadow.
1a8ba699-24cb-4b35-8db1-c595c578199c |  |  | theme=dark | ind=ecommerce | mw=1280px secGap=64-96px cardPad=20-24px base= dens= | fonts= | NS=midnight bazaar under mint lanterns
162e9ba9-7487-4b57-aee8-0bbeadcc586d |  |  | theme=mixed | ind= | mw=1280px secGap=80-120px cardPad=16px base= dens= | fonts= | NS=Poster studio on matte black — bold instructor faces, chalk-white type, single neon pulse.

